CODE FOYER;RANG LUMINAIRE;ARMOIRE;ADRESSE;DOMAINE;TYPE SUPPORT;NATURE SUPPORT;HAUTEUR SUPPORT;ETAT SUPPORT;OBSERVATION SUPPORT;COFFRET CLASSE II;MISE A LA TERRE MAT;TYPE CROSSE;SAILLIE CROSSE;ETAT CROSSE;OBSERVATION CROSSE;MARQUE LUMINAIRE;MODELE LUMINAIRE;HAUTEUR DE FEU;ETAT LUMINAIRE;TYPE SOURCE;NOMBRE DE LEDS;PUISSANCE ESTIMEE SOURCE;TYPE DE FIXATION;OBSERVATION LUMINAIRE;TYPE RESEAU;OBSERVATION RESEAU;X;Y
186/268;1;359;RUE DU VIEUX LAVOIR;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;8;BON;;OUI;OUI;CROSSE DROITE;1;BON;;SELUX;ILOO;8;BON;LED;48;;LATERALE;;SOUTERRAIN;;2.98585256751897;42.6646400835502
186/269;1;359;RUE DU VIEUX LAVOIR;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;8;BON;;OUI;OUI;CROSSE DROITE;1;BON;;SELUX;ILOO;8;BON;LED;48;;LATERALE;;SOUTERRAIN;;2.98569758567457;42.6649169405018
186/13746;1;359;RUE DU VIEUX LAVOIR;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;8;BON;;OUI;OUI;CROSSE DROITE;1;BON;;SELUX;ILOO;8;BON;LED;48;;LATERALE;;SOUTERRAIN;;2.9855562932568;42.6651605577459
186/270;1;359;RUE DU VIEUX LAVOIR;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;8;BON;;OUI;OUI;CROSSE DROITE;1;BON;;SELUX;ILOO;8;BON;LED;48;;LATERALE;;SOUTERRAIN;;2.98541313234323;42.6654137441227
186/13747;1;359;RUE DU VIEUX LAVOIR;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;8;BON;;OUI;OUI;CROSSE DROITE;1;BON;;SELUX;ILOO;8;BON;LED;48;;LATERALE;;SOUTERRAIN;;2.98525984202653;42.6657354436524
186/271;1;359;RUE DU VIEUX LAVOIR;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;8;BON;;OUI;OUI;CROSSE DROITE;1;BON;;SELUX;ILOO;8;BON;LED;48;;LATERALE;;SOUTERRAIN;;2.98477587646384;42.665872854251
186/272;1;359;ROND POINT DU LAVOIR;ECLAIRAGE PUBLIC;CANDELABRE OCTOGONAL CONIQUE;ACIER GALVANISE;10;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;PHILIPS;MODENA;10;BON;IM;;250;LATERALE;;SOUTERRAIN;;2.98446964976662;42.6660334437717
186/272;2;359;ROND POINT DU LAVOIR;ECLAIRAGE PUBLIC;CANDELABRE OCTOGONAL CONIQUE;ACIER GALVANISE;10;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;PHILIPS;MODENA;10;BON;IM;;250;LATERALE;;SOUTERRAIN;;2.98447498935267;42.6660458356143
186/272;3;359;ROND POINT DU LAVOIR;ECLAIRAGE PUBLIC;CANDELABRE OCTOGONAL CONIQUE;ACIER GALVANISE;10;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;PHILIPS;MODENA;10;BON;IM;;250;LATERALE;LAMPE HS;SOUTERRAIN;;2.9844576473761;42.6660432383478
186/267;1;359;RUE DU VIEUX LAVOIR;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;8;BON;;OUI;OUI;CROSSE DROITE;1;BON;;SELUX;ILOO;8;BON;LED;48;;LATERALE;;SOUTERRAIN;;2.98588643310685;42.6643375703837
186/13745;1;359;RUE DU VIEUX LAVOIR;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;8;BON;;OUI;OUI;CROSSE DROITE;1;BON;;SELUX;ILOO;8;BON;LED;48;;LATERALE;;SOUTERRAIN;;2.98583204909957;42.6640275972795
186/266;1;359;RUE DU VIEUX LAVOIR;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;8;BON;;OUI;OUI;CROSSE DROITE;1;BON;;SELUX;ILOO;8;BON;LED;48;;LATERALE;;SOUTERRAIN;;2.98580655042023;42.6636428671248
