cumul;CODE_INSEE;X;Y;N_armoire;N_depart;N_SUPPORT;N_LUMINAIRE;INDICE_LUM;Adresse;Type_Reseau;Type_Cable;Section du câble;Etat;Platine raccordement (boitier);TYPE_PROTECTION;TYPE_TERRE;CONFORMITE_MISE_A_LA_TERRE;TETE_CABLE;GAINE_ALIM_BT;GAINE_ALIM_LUMINAIRE;CABLAGE_CONFORME;"Géolocalisation (A; B; C ou non)"; Modele_Support ; Forme_Support ;Materiaux_Support;Type_Peinture;Hauteur;Etat_Support;TRAPPE;NATURE_CROSSE;NB_CROSSE;SAILLIE_CROSSE;Typologie Luminaire; Marque ; Modele ; OUVERT_FERME ; INDICE_PROTECTION ;ETAT_LUMINAIRE;Hauteur luminaire;Inclinaison; Source ; Puissance ; eteint ; HS ; PRISE_ILLUMINATION ; PROTECTION_ILLUMINATION ; PHOTO_LUMINAIRE ; PHOTO_RACCORDEMENT ;cumul2;observation
1;66164;2.8785483911633;42.762499969645;1;SANS_OBJET;1;1;1;RIVESALTES;SOUTERRAIN;U1000RO2V;3G16;BON;COFFRET CLASSE DEUX;FUSIBLE;CABLETTE;OUI;NON;NON;NON;NON;C;CANDELABRE;CYLINDRIQUE;ACIER_GALVANISE;THERMOLAQUE;6;BON;OUI;AUTRE;AUCUNE;SANS_OBJET;ROUTIER;PHILIPS;IRIDIUM;FERME;IP 54;BON;6;0;COSMOWHITE;60;NON;NON;NON;NON;c71190f683188pu452512_20210222080824_5a272453-9215-4986-89e5-1600fba37fb1.jpg;;1;
1;66164;2.8784169629216;42.762335540459;1;SANS_OBJET;2;2;1;RIVESALTES;SOUTERRAIN;U1000RO2V;3G16;BON;COFFRET CLASSE DEUX;FUSIBLE;CABLETTE;OUI;NON;NON;NON;NON;C;CANDELABRE;CYLINDRIQUE;ACIER_GALVANISE;THERMOLAQUE;6;BON;OUI;AUTRE;AUCUNE;SANS_OBJET;ROUTIER;PHILIPS;IRIDIUM;FERME;IP 54;BON;6;0;COSMOWHITE;60;NON;NON;NON;NON;c71190f683188pu452512_20210222080934_cd05cc77-62c0-462b-84b5-a09bef58da45.jpg;;1;
1;66164;2.8780525177717;42.762071419012;1;SANS_OBJET;3;3;1;RIVESALTES;SOUTERRAIN;U1000RO2V;3G16;BON;COFFRET CLASSE DEUX;FUSIBLE;CABLETTE;OUI;NON;NON;NON;NON;C;CANDELABRE;CYLINDRIQUE;ACIER_GALVANISE;THERMOLAQUE;6;BON;OUI;AUTRE;AUCUNE;SANS_OBJET;ROUTIER;PHILIPS;IRIDIUM;FERME;IP 54;BON;6;0;COSMOWHITE;60;NON;NON;NON;NON;c71190f683188pu452512_20210222080954_b02b9c9a-852e-49b5-b3ce-b6d01cad67c1.jpg;;1;
1;66164;2.8779861330986;42.761912650219;1;SANS_OBJET;4;4;1;RIVESALTES;SOUTERRAIN;U1000RO2V;3G16;BON;COFFRET CLASSE DEUX;FUSIBLE;CABLETTE;OUI;NON;NON;NON;NON;C;CANDELABRE;CYLINDRIQUE;ACIER_GALVANISE;THERMOLAQUE;6;BON;OUI;AUTRE;AUCUNE;SANS_OBJET;ROUTIER;PHILIPS;IRIDIUM;FERME;IP 54;BON;6;0;COSMOWHITE;60;NON;NON;NON;NON;c71190f683188pu452512_20210222081022_b8bfc51f-2573-48e8-b943-1b9e793b726b.jpg;;1;
1;66164;2.8783579543233;42.762215664415;1;SANS_OBJET;5;5;1;RIVESALTES;SOUTERRAIN;U1000RO2V;3G16;BON;COFFRET CLASSE DEUX;FUSIBLE;CABLETTE;OUI;NON;NON;NON;NON;C;CANDELABRE;CYLINDRIQUE;ACIER_GALVANISE;THERMOLAQUE;6;BON;OUI;AUTRE;AUCUNE;SANS_OBJET;ROUTIER;PHILIPS;IRIDIUM;FERME;IP 54;BON;6;0;COSMOWHITE;60;NON;NON;NON;NON;c71190f683188pu452512_20210222081059_9fad6b95-e13d-44cc-9390-0dc6ec0b0513.jpg;;1;
1;66164;2.8786211460829;42.762172095446;1;SANS_OBJET;6;6;1;RIVESALTES;SOUTERRAIN;U1000RO2V;3G16;BON;COFFRET CLASSE DEUX;FUSIBLE;CABLETTE;OUI;NON;NON;NON;NON;C;CANDELABRE;CYLINDRIQUE;ACIER_GALVANISE;THERMOLAQUE;6;BON;OUI;AUTRE;AUCUNE;SANS_OBJET;ROUTIER;PHILIPS;IRIDIUM;FERME;IP 54;BON;6;0;COSMOWHITE;60;NON;NON;NON;NON;c71190f683188pu452512_20210222081156_9ac680da-c890-4738-ac76-9b1750c8176c.jpg;;1;
1;66164;2.8785239160061;42.762030557625;1;SANS_OBJET;7;7;1;RIVESALTES;SOUTERRAIN;U1000RO2V;3G16;BON;COFFRET CLASSE DEUX;FUSIBLE;CABLETTE;OUI;NON;NON;NON;NON;C;CANDELABRE;CYLINDRIQUE;ACIER_GALVANISE;THERMOLAQUE;6;BON;OUI;AUTRE;AUCUNE;SANS_OBJET;ROUTIER;PHILIPS;IRIDIUM;FERME;IP 54;BON;6;0;COSMOWHITE;60;NON;NON;NON;NON;c71190f683188pu452512_20210222081241_a7ecb161-97c1-4a84-99c3-45d0d0988464.jpg;;1;
1;66164;2.8785842657089;42.761845942589;1;SANS_OBJET;8;8;1;RIVESALTES;SOUTERRAIN;U1000RO2V;3G16;BON;COFFRET CLASSE DEUX;FUSIBLE;CABLETTE;OUI;NON;NON;NON;NON;C;CANDELABRE;CYLINDRIQUE;ACIER_GALVANISE;THERMOLAQUE;6;BON;OUI;AUTRE;AUCUNE;SANS_OBJET;ROUTIER;PHILIPS;IRIDIUM;FERME;IP 54;BON;6;0;COSMOWHITE;60;NON;NON;NON;NON;c71190f683188pu452512_20210222081328_8478ee9d-ebd2-4939-9e24-e47fd3994d55.jpg;;1;
1;66164;2.8787753731012;42.761834865669;1;SANS_OBJET;9;9;1;RIVESALTES;SOUTERRAIN;U1000RO2V;3G16;BON;COFFRET CLASSE DEUX;FUSIBLE;CABLETTE;OUI;NON;NON;NON;NON;C;CANDELABRE;CYLINDRIQUE;ACIER_GALVANISE;THERMOLAQUE;6;BON;OUI;AUTRE;AUCUNE;SANS_OBJET;ROUTIER;PHILIPS;IRIDIUM;FERME;IP 54;BON;6;0;COSMOWHITE;60;NON;NON;NON;NON;c71190f683188pu452512_20210222081356_361be19f-1a36-44b2-958d-9d72dcb0ec2e.jpg;;1;
1;66164;2.8785842657089;42.761845942589;1;SANS_OBJET;10;10;1;RIVESALTES;SOUTERRAIN;U1000RO2V;3G16;BON;COFFRET CLASSE DEUX;FUSIBLE;CABLETTE;OUI;NON;NON;NON;NON;C;CANDELABRE;CYLINDRIQUE;ACIER_GALVANISE;THERMOLAQUE;6;BON;OUI;AUTRE;AUCUNE;SANS_OBJET;ROUTIER;PHILIPS;IRIDIUM;FERME;IP 54;BON;6;0;COSMOWHITE;60;NON;NON;NON;NON;c71190f683188pu452512_20210222081415_75aaa4d0-9028-472d-9c64-9d56e07e1b1e.jpg;;1;
1;66164;2.8789319470525;42.762014065371;1;SANS_OBJET;11;11;1;RIVESALTES;SOUTERRAIN;U1000RO2V;3G16;BON;COFFRET CLASSE DEUX;FUSIBLE;CABLETTE;OUI;NON;NON;NON;NON;C;CANDELABRE;CYLINDRIQUE;ACIER_GALVANISE;THERMOLAQUE;6;BON;OUI;AUTRE;AUCUNE;SANS_OBJET;ROUTIER;PHILIPS;IRIDIUM;FERME;IP 54;BON;6;0;COSMOWHITE;60;NON;NON;NON;NON;c71190f683188pu452512_20210222081436_569e8c70-c66b-475b-92e4-7fdb162b2163.jpg;;1;
