id;commune;type_equipement;latitude;longitude;puissance_w
EP-001;Lyon;LED;45.764043;4.835659;120
EP-002;Lyon;Sodium;45.758000;4.828000;150
EP-003;Lyon;LED;45.770100;4.850200;100
EP-004;Paris;LED;48.856613;2.352222;90
EP-005;Paris;Halogene;48.873792;2.295028;200
EP-006;Marseille;LED;43.296482;5.369780;110
EP-007;Toulouse;Sodium;43.604652;1.444209;140
EP-008;Lyon;LED;45.748500;4.846700;95
EP-009;Bordeaux;LED;44.837789;-0.579180;105
EP-010;Nantes;Sodium;47.218371;-1.553621;130
EP-011;Lyon;LED;45.760000;4.840000;115
EP-012;Strasbourg;LED;48.573405;7.752111;100
